[2026-09-25T01:43:39.960937Z] new extension in runs/extension: 14928 planned calls
[2026-09-25T01:43:40.478293Z] model block: qwen3-coder:30b (repeat 1)
[2026-09-25T02:15:27.400534Z] 780/14928 r1-qwen3-coder_30b-s0837-exposed valid=True action=ABSTAIN latency=3.2s
[2026-09-25T02:15:29.270109Z] 781/14928 r1-qwen3-coder_30b-s0169-hidden valid=True action=CASH latency=1.9s
[2026-09-25T02:15:32.212769Z] 782/14928 r1-qwen3-coder_30b-s0169-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:15:33.902553Z] 783/14928 r1-qwen3-coder_30b-s0539-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-25T02:15:36.666978Z] 784/14928 r1-qwen3-coder_30b-s0539-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T02:15:38.640040Z] 785/14928 r1-qwen3-coder_30b-s0676-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:15:41.600857Z] 786/14928 r1-qwen3-coder_30b-s0676-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:15:43.349000Z] 787/14928 r1-qwen3-coder_30b-s1165-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:15:45.932568Z] 788/14928 r1-qwen3-coder_30b-s1165-exposed valid=True action=CASH latency=2.6s
[2026-09-25T02:15:47.666680Z] 789/14928 r1-qwen3-coder_30b-s0214-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:15:50.581462Z] 790/14928 r1-qwen3-coder_30b-s0214-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:15:53.600007Z] 791/14928 r1-qwen3-coder_30b-s0558-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:15:55.564274Z] 792/14928 r1-qwen3-coder_30b-s0558-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:15:58.228118Z] 793/14928 r1-qwen3-coder_30b-s0497-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-25T02:16:00.197963Z] 794/14928 r1-qwen3-coder_30b-s0497-hidden valid=True action=ABSTAIN latency=2.0s
[2026-09-25T02:16:01.954199Z] 795/14928 r1-qwen3-coder_30b-s0828-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:16:04.490625Z] 796/14928 r1-qwen3-coder_30b-s0828-exposed valid=True action=BTC latency=2.5s
[2026-09-25T02:16:06.137308Z] 797/14928 r1-qwen3-coder_30b-s0370-hidden valid=True action=ABSTAIN latency=1.6s
[2026-09-25T02:16:09.155598Z] 798/14928 r1-qwen3-coder_30b-s0370-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:16:12.117283Z] 799/14928 r1-qwen3-coder_30b-s0545-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:16:14.295100Z] 800/14928 r1-qwen3-coder_30b-s0545-hidden valid=True action=BTC latency=2.2s
[2026-09-25T02:16:16.671365Z] 801/14928 r1-qwen3-coder_30b-s0050-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:16:19.766213Z] 802/14928 r1-qwen3-coder_30b-s0050-exposed valid=True action=CASH latency=3.1s
[2026-09-25T02:16:22.724171Z] 803/14928 r1-qwen3-coder_30b-s0286-exposed valid=True action=CASH latency=3.0s
[2026-09-25T02:16:24.483514Z] 804/14928 r1-qwen3-coder_30b-s0286-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:16:26.497992Z] 805/14928 r1-qwen3-coder_30b-s0481-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:16:29.508916Z] 806/14928 r1-qwen3-coder_30b-s0481-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:16:32.115911Z] 807/14928 r1-qwen3-coder_30b-s0047-exposed valid=True action=CASH latency=2.6s
[2026-09-25T02:16:33.910880Z] 808/14928 r1-qwen3-coder_30b-s0047-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:16:36.078043Z] 809/14928 r1-qwen3-coder_30b-s0659-hidden valid=True action=BTC latency=2.2s
[2026-09-25T02:16:38.997351Z] 810/14928 r1-qwen3-coder_30b-s0659-exposed valid=True action=BTC latency=2.9s
[2026-09-25T02:16:40.894339Z] 811/14928 r1-qwen3-coder_30b-s0945-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:16:43.965879Z] 812/14928 r1-qwen3-coder_30b-s0945-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:16:47.042823Z] 813/14928 r1-qwen3-coder_30b-s1228-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:16:48.961533Z] 814/14928 r1-qwen3-coder_30b-s1228-hidden valid=True action=BTC latency=1.9s
[2026-09-25T02:16:51.736822Z] 815/14928 r1-qwen3-coder_30b-s1108-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T02:16:53.550364Z] 816/14928 r1-qwen3-coder_30b-s1108-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:16:56.650785Z] 817/14928 r1-qwen3-coder_30b-s1109-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:16:58.409021Z] 818/14928 r1-qwen3-coder_30b-s1109-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:17:00.193338Z] 819/14928 r1-qwen3-coder_30b-s0128-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:17:03.140760Z] 820/14928 r1-qwen3-coder_30b-s0128-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:17:04.744402Z] 821/14928 r1-qwen3-coder_30b-s0915-hidden valid=True action=BTC latency=1.6s
[2026-09-25T02:17:07.769872Z] 822/14928 r1-qwen3-coder_30b-s0915-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:17:10.397481Z] 823/14928 r1-qwen3-coder_30b-s0978-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-25T02:17:12.622003Z] 824/14928 r1-qwen3-coder_30b-s0978-hidden valid=True action=BTC latency=2.2s
[2026-09-25T02:17:15.115735Z] 825/14928 r1-qwen3-coder_30b-s1092-exposed valid=True action=BTC latency=2.5s
[2026-09-25T02:17:16.947600Z] 826/14928 r1-qwen3-coder_30b-s1092-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:17:19.658751Z] 827/14928 r1-qwen3-coder_30b-s0957-exposed valid=True action=CASH latency=2.7s
[2026-09-25T02:17:21.248661Z] 828/14928 r1-qwen3-coder_30b-s0957-hidden valid=True action=CASH latency=1.6s
[2026-09-25T02:17:24.324676Z] 829/14928 r1-qwen3-coder_30b-s0438-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:17:26.590191Z] 830/14928 r1-qwen3-coder_30b-s0438-hidden valid=True action=BTC latency=2.3s
[2026-09-25T02:17:29.501851Z] 831/14928 r1-qwen3-coder_30b-s0374-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T02:17:31.434293Z] 832/14928 r1-qwen3-coder_30b-s0374-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:17:34.629737Z] 833/14928 r1-qwen3-coder_30b-s1091-exposed valid=True action=BTC latency=3.2s
[2026-09-25T02:17:36.746566Z] 834/14928 r1-qwen3-coder_30b-s1091-hidden valid=True action=BTC latency=2.1s
[2026-09-25T02:17:39.500385Z] 835/14928 r1-qwen3-coder_30b-s0055-exposed valid=True action=CASH latency=2.7s
[2026-09-25T02:17:41.161715Z] 836/14928 r1-qwen3-coder_30b-s0055-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:17:42.866299Z] 837/14928 r1-qwen3-coder_30b-s0228-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:17:45.723670Z] 838/14928 r1-qwen3-coder_30b-s0228-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:17:48.530721Z] 839/14928 r1-qwen3-coder_30b-s0657-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T02:17:50.397411Z] 840/14928 r1-qwen3-coder_30b-s0657-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:17:52.463011Z] 841/14928 r1-qwen3-coder_30b-s1120-hidden valid=True action=BTC latency=2.1s
[2026-09-25T02:17:55.552233Z] 842/14928 r1-qwen3-coder_30b-s1120-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:17:57.274912Z] 843/14928 r1-qwen3-coder_30b-s0020-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:18:00.407619Z] 844/14928 r1-qwen3-coder_30b-s0020-exposed valid=True action=CASH latency=3.1s
[2026-09-25T02:18:03.234999Z] 845/14928 r1-qwen3-coder_30b-s0120-exposed valid=True action=CASH latency=2.8s
[2026-09-25T02:18:04.936299Z] 846/14928 r1-qwen3-coder_30b-s0120-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:18:08.011740Z] 847/14928 r1-qwen3-coder_30b-s1217-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:18:10.235009Z] 848/14928 r1-qwen3-coder_30b-s1217-hidden valid=True action=BTC latency=2.2s
[2026-09-25T02:18:13.406119Z] 849/14928 r1-qwen3-coder_30b-s0822-exposed valid=True action=BTC latency=3.2s
[2026-09-25T02:18:15.397925Z] 850/14928 r1-qwen3-coder_30b-s0822-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:18:18.622978Z] 851/14928 r1-qwen3-coder_30b-s0147-exposed valid=True action=CASH latency=3.2s
[2026-09-25T02:18:20.536106Z] 852/14928 r1-qwen3-coder_30b-s0147-hidden valid=True action=CASH latency=1.9s
[2026-09-25T02:18:23.786389Z] 853/14928 r1-qwen3-coder_30b-s1145-exposed valid=True action=ABSTAIN latency=3.2s
[2026-09-25T02:18:26.161666Z] 854/14928 r1-qwen3-coder_30b-s1145-hidden valid=True action=ABSTAIN latency=2.4s
[2026-09-25T02:18:28.368106Z] 855/14928 r1-qwen3-coder_30b-s0443-hidden valid=True action=BTC latency=2.2s
[2026-09-25T02:18:31.259965Z] 856/14928 r1-qwen3-coder_30b-s0443-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T02:18:33.017317Z] 857/14928 r1-qwen3-coder_30b-s1010-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:18:35.678830Z] 858/14928 r1-qwen3-coder_30b-s1010-exposed valid=True action=BTC latency=2.7s
[2026-09-25T02:18:37.573936Z] 859/14928 r1-qwen3-coder_30b-s0636-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:18:40.371516Z] 860/14928 r1-qwen3-coder_30b-s0636-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T02:18:43.746897Z] 861/14928 r1-qwen3-coder_30b-s0935-exposed valid=True action=ABSTAIN latency=3.4s
[2026-09-25T02:18:45.600828Z] 862/14928 r1-qwen3-coder_30b-s0935-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:18:48.547847Z] 863/14928 r1-qwen3-coder_30b-s0066-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:18:50.383437Z] 864/14928 r1-qwen3-coder_30b-s0066-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:18:53.447920Z] 865/14928 r1-qwen3-coder_30b-s0731-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:18:55.378859Z] 866/14928 r1-qwen3-coder_30b-s0731-hidden valid=True action=BTC latency=1.9s
[2026-09-25T02:18:57.144972Z] 867/14928 r1-qwen3-coder_30b-s1021-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:19:00.204224Z] 868/14928 r1-qwen3-coder_30b-s1021-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:19:02.141535Z] 869/14928 r1-qwen3-coder_30b-s0817-hidden valid=True action=BTC latency=1.9s
[2026-09-25T02:19:05.250989Z] 870/14928 r1-qwen3-coder_30b-s0817-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:19:07.123329Z] 871/14928 r1-qwen3-coder_30b-s0834-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:19:10.536309Z] 872/14928 r1-qwen3-coder_30b-s0834-exposed valid=True action=ABSTAIN latency=3.4s
[2026-09-25T02:19:13.774522Z] 873/14928 r1-qwen3-coder_30b-s0398-exposed valid=True action=BTC latency=3.2s
[2026-09-25T02:19:15.760112Z] 874/14928 r1-qwen3-coder_30b-s0398-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:19:17.369432Z] 875/14928 r1-qwen3-coder_30b-s0292-hidden valid=True action=CASH latency=1.6s
[2026-09-25T02:19:20.113978Z] 876/14928 r1-qwen3-coder_30b-s0292-exposed valid=True action=CASH latency=2.7s
[2026-09-25T02:19:23.382428Z] 877/14928 r1-qwen3-coder_30b-s0819-exposed valid=True action=BTC latency=3.3s
[2026-09-25T02:19:25.455162Z] 878/14928 r1-qwen3-coder_30b-s0819-hidden valid=True action=BTC latency=2.1s
[2026-09-25T02:19:28.453002Z] 879/14928 r1-qwen3-coder_30b-s1067-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:19:30.472945Z] 880/14928 r1-qwen3-coder_30b-s1067-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:19:32.250632Z] 881/14928 r1-qwen3-coder_30b-s1220-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:19:35.270875Z] 882/14928 r1-qwen3-coder_30b-s1220-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:19:38.347142Z] 883/14928 r1-qwen3-coder_30b-s1128-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:19:40.179139Z] 884/14928 r1-qwen3-coder_30b-s1128-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:19:42.732405Z] 885/14928 r1-qwen3-coder_30b-s1156-exposed valid=True action=CASH latency=2.5s
[2026-09-25T02:19:44.306437Z] 886/14928 r1-qwen3-coder_30b-s1156-hidden valid=True action=CASH latency=1.6s
[2026-09-25T02:19:46.044211Z] 887/14928 r1-qwen3-coder_30b-s0023-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:19:48.958906Z] 888/14928 r1-qwen3-coder_30b-s0023-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:19:51.437338Z] 889/14928 r1-qwen3-coder_30b-s0922-exposed valid=True action=CASH latency=2.5s
[2026-09-25T02:19:53.047446Z] 890/14928 r1-qwen3-coder_30b-s0922-hidden valid=True action=CASH latency=1.6s
[2026-09-25T02:19:56.333280Z] 891/14928 r1-qwen3-coder_30b-s0099-exposed valid=True action=ABSTAIN latency=3.3s
[2026-09-25T02:19:58.079378Z] 892/14928 r1-qwen3-coder_30b-s0099-hidden valid=True action=BTC latency=1.7s
[2026-09-25T02:19:59.968972Z] 893/14928 r1-qwen3-coder_30b-s1133-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:20:03.336261Z] 894/14928 r1-qwen3-coder_30b-s1133-exposed valid=True action=ABSTAIN latency=3.4s
[2026-09-25T02:20:05.992823Z] 895/14928 r1-qwen3-coder_30b-s0119-exposed valid=True action=CASH latency=2.7s
[2026-09-25T02:20:07.733710Z] 896/14928 r1-qwen3-coder_30b-s0119-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:20:10.778693Z] 897/14928 r1-qwen3-coder_30b-s0695-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:20:12.863361Z] 898/14928 r1-qwen3-coder_30b-s0695-hidden valid=True action=BTC latency=2.1s
[2026-09-25T02:20:15.836040Z] 899/14928 r1-qwen3-coder_30b-s0416-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:20:17.813060Z] 900/14928 r1-qwen3-coder_30b-s0416-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:20:21.298472Z] 901/14928 r1-qwen3-coder_30b-s0032-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:20:23.050750Z] 902/14928 r1-qwen3-coder_30b-s0032-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:20:24.736123Z] 903/14928 r1-qwen3-coder_30b-s0600-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-25T02:20:27.666282Z] 904/14928 r1-qwen3-coder_30b-s0600-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T02:20:29.481104Z] 905/14928 r1-qwen3-coder_30b-s0446-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:20:32.352962Z] 906/14928 r1-qwen3-coder_30b-s0446-exposed valid=True action=BTC latency=2.9s
[2026-09-25T02:20:35.459615Z] 907/14928 r1-qwen3-coder_30b-s0235-exposed valid=True action=CASH latency=3.1s
[2026-09-25T02:20:37.197718Z] 908/14928 r1-qwen3-coder_30b-s0235-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:20:39.838825Z] 909/14928 r1-qwen3-coder_30b-s0049-exposed valid=True action=CASH latency=2.6s
[2026-09-25T02:20:41.684614Z] 910/14928 r1-qwen3-coder_30b-s0049-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:20:44.253482Z] 911/14928 r1-qwen3-coder_30b-s1189-exposed valid=True action=CASH latency=2.6s
[2026-09-25T02:20:45.887622Z] 912/14928 r1-qwen3-coder_30b-s1189-hidden valid=True action=BTC latency=1.6s
[2026-09-25T02:20:48.775316Z] 913/14928 r1-qwen3-coder_30b-s0191-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:20:50.545832Z] 914/14928 r1-qwen3-coder_30b-s0191-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:20:53.427270Z] 915/14928 r1-qwen3-coder_30b-s0526-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T02:20:55.317729Z] 916/14928 r1-qwen3-coder_30b-s0526-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:20:57.039954Z] 917/14928 r1-qwen3-coder_30b-s0162-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:20:59.956576Z] 918/14928 r1-qwen3-coder_30b-s0162-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:21:03.118720Z] 919/14928 r1-qwen3-coder_30b-s0140-exposed valid=True action=CASH latency=3.2s
[2026-09-25T02:21:04.942121Z] 920/14928 r1-qwen3-coder_30b-s0140-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:21:08.104938Z] 921/14928 r1-qwen3-coder_30b-s0154-exposed valid=True action=CASH latency=3.2s
[2026-09-25T02:21:09.851063Z] 922/14928 r1-qwen3-coder_30b-s0154-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:21:12.836037Z] 923/14928 r1-qwen3-coder_30b-s1095-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:21:14.671701Z] 924/14928 r1-qwen3-coder_30b-s1095-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:21:16.719882Z] 925/14928 r1-qwen3-coder_30b-s0556-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:21:19.705772Z] 926/14928 r1-qwen3-coder_30b-s0556-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:21:21.658972Z] 927/14928 r1-qwen3-coder_30b-s1051-hidden valid=True action=BTC latency=1.9s
[2026-09-25T02:21:24.780294Z] 928/14928 r1-qwen3-coder_30b-s1051-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:21:26.576774Z] 929/14928 r1-qwen3-coder_30b-s0418-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:21:29.172232Z] 930/14928 r1-qwen3-coder_30b-s0418-exposed valid=True action=BTC latency=2.6s
[2026-09-25T02:21:32.058909Z] 931/14928 r1-qwen3-coder_30b-s0809-exposed valid=True action=BTC latency=2.9s
[2026-09-25T02:21:34.055290Z] 932/14928 r1-qwen3-coder_30b-s0809-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:21:37.221656Z] 933/14928 r1-qwen3-coder_30b-s1212-exposed valid=True action=ABSTAIN latency=3.2s
[2026-09-25T02:21:39.068053Z] 934/14928 r1-qwen3-coder_30b-s1212-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:21:42.017382Z] 935/14928 r1-qwen3-coder_30b-s0359-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:21:43.740369Z] 936/14928 r1-qwen3-coder_30b-s0359-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:21:46.557026Z] 937/14928 r1-qwen3-coder_30b-s1107-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T02:21:48.440254Z] 938/14928 r1-qwen3-coder_30b-s1107-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:21:51.458962Z] 939/14928 r1-qwen3-coder_30b-s0733-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:21:53.560737Z] 940/14928 r1-qwen3-coder_30b-s0733-hidden valid=True action=BTC latency=2.1s
[2026-09-25T02:21:55.404261Z] 941/14928 r1-qwen3-coder_30b-s0589-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:21:58.481564Z] 942/14928 r1-qwen3-coder_30b-s0589-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:22:00.544318Z] 943/14928 r1-qwen3-coder_30b-s1125-hidden valid=True action=BTC latency=2.1s
[2026-09-25T02:22:03.569584Z] 944/14928 r1-qwen3-coder_30b-s1125-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:22:06.703967Z] 945/14928 r1-qwen3-coder_30b-s0395-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:22:08.756451Z] 946/14928 r1-qwen3-coder_30b-s0395-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:22:11.784876Z] 947/14928 r1-qwen3-coder_30b-s0849-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:22:13.654916Z] 948/14928 r1-qwen3-coder_30b-s0849-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:22:16.828035Z] 949/14928 r1-qwen3-coder_30b-s0781-exposed valid=True action=BTC latency=3.2s
[2026-09-25T02:22:18.670620Z] 950/14928 r1-qwen3-coder_30b-s0781-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:22:20.471994Z] 951/14928 r1-qwen3-coder_30b-s0518-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:22:23.604297Z] 952/14928 r1-qwen3-coder_30b-s0518-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:22:25.615914Z] 953/14928 r1-qwen3-coder_30b-s0391-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:22:28.890247Z] 954/14928 r1-qwen3-coder_30b-s0391-exposed valid=True action=BTC latency=3.3s
[2026-09-25T02:22:30.873169Z] 955/14928 r1-qwen3-coder_30b-s1045-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:22:33.933149Z] 956/14928 r1-qwen3-coder_30b-s1045-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:22:35.652387Z] 957/14928 r1-qwen3-coder_30b-s0967-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-25T02:22:38.425856Z] 958/14928 r1-qwen3-coder_30b-s0967-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T02:22:41.704850Z] 959/14928 r1-qwen3-coder_30b-s0895-exposed valid=True action=ABSTAIN latency=3.3s
[2026-09-25T02:22:43.606058Z] 960/14928 r1-qwen3-coder_30b-s0895-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:22:45.226147Z] 961/14928 r1-qwen3-coder_30b-s0313-hidden valid=True action=CASH latency=1.6s
[2026-09-25T02:22:48.111703Z] 962/14928 r1-qwen3-coder_30b-s0313-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:22:49.904709Z] 963/14928 r1-qwen3-coder_30b-s1223-hidden valid=True action=BTC latency=1.8s
[2026-09-25T02:22:52.664695Z] 964/14928 r1-qwen3-coder_30b-s1223-exposed valid=True action=BTC latency=2.8s
[2026-09-25T02:22:54.679851Z] 965/14928 r1-qwen3-coder_30b-s0794-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:22:57.627259Z] 966/14928 r1-qwen3-coder_30b-s0794-exposed valid=True action=BTC latency=2.9s
[2026-09-25T02:23:00.184321Z] 967/14928 r1-qwen3-coder_30b-s0963-exposed valid=True action=CASH latency=2.6s
[2026-09-25T02:23:01.777753Z] 968/14928 r1-qwen3-coder_30b-s0963-hidden valid=True action=CASH latency=1.6s
[2026-09-25T02:23:03.723413Z] 969/14928 r1-qwen3-coder_30b-s0778-hidden valid=True action=BTC latency=1.9s
[2026-09-25T02:23:06.802457Z] 970/14928 r1-qwen3-coder_30b-s0778-exposed valid=True action=BTC latency=3.1s
[2026-09-25T02:23:09.790921Z] 971/14928 r1-qwen3-coder_30b-s0658-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:23:11.626107Z] 972/14928 r1-qwen3-coder_30b-s0658-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T02:23:13.551602Z] 973/14928 r1-qwen3-coder_30b-s0501-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:23:16.502387Z] 974/14928 r1-qwen3-coder_30b-s0501-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T02:23:18.554044Z] 975/14928 r1-qwen3-coder_30b-s0737-hidden valid=True action=BTC latency=2.0s
[2026-09-25T02:23:21.531036Z] 976/14928 r1-qwen3-coder_30b-s0737-exposed valid=True action=BTC latency=3.0s
[2026-09-25T02:23:24.668963Z] 977/14928 r1-qwen3-coder_30b-s0883-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T02:23:26.587374Z] 978/14928 r1-qwen3-coder_30b-s0883-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:23:29.328635Z] 979/14928 r1-qwen3-coder_30b-s0064-exposed valid=True action=CASH latency=2.7s
[2026-09-25T02:23:31.101700Z] 980/14928 r1-qwen3-coder_30b-s0064-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:23:33.959069Z] 981/14928 r1-qwen3-coder_30b-s1017-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T02:23:35.813762Z] 982/14928 r1-qwen3-coder_30b-s1017-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:23:37.507528Z] 983/14928 r1-qwen3-coder_30b-s0115-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:23:40.537862Z] 984/14928 r1-qwen3-coder_30b-s0115-exposed valid=True action=CASH latency=3.0s
[2026-09-25T02:23:43.464603Z] 985/14928 r1-qwen3-coder_30b-s0251-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:23:45.228640Z] 986/14928 r1-qwen3-coder_30b-s0251-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:23:48.153383Z] 987/14928 r1-qwen3-coder_30b-s0243-exposed valid=True action=CASH latency=2.9s
[2026-09-25T02:23:49.926594Z] 988/14928 r1-qwen3-coder_30b-s0243-hidden valid=True action=CASH latency=1.8s
[2026-09-25T02:23:52.967996Z] 989/14928 r1-qwen3-coder_30b-s0531-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:23:54.647245Z] 990/14928 r1-qwen3-coder_30b-s0531-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-25T02:23:57.625571Z] 991/14928 r1-qwen3-coder_30b-s0573-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T02:23:59.506277Z] 992/14928 r1-qwen3-coder_30b-s0573-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T02:24:02.704643Z] 993/14928 r1-qwen3-coder_30b-s0190-exposed valid=True action=CASH latency=3.2s
[2026-09-25T02:24:04.448059Z] 994/14928 r1-qwen3-coder_30b-s0190-hidden valid=True action=CASH latency=1.7s
[2026-09-25T02:24:07.522487Z] 995/14928 r1-qwen3-coder_30b-s0474-exposed valid=True action=BTC latency=3.1s
